token_id,ensembl_id,gene_name,gene_median
457,ENSG00000212024,MIR550A3,
458,ENSG00000263573,MIR4270,
459,ENSG00000182272,B4GALNT4,1.02
460,ENSG00000207693,MIR602,
461,ENSG00000047621,C12orf4,0.93
462,ENSG00000130948,HSD17B3,0.94
463,ENSG00000104408,EIF3E,4.24
464,ENSG00000112304,ACOT13,1.13
465,ENSG00000142599,RERE,4.39
466,ENSG00000226479,TMEM185B,0.73
467,ENSG00000126804,ZBTB1,1.46
468,ENSG00000116157,GPX7,1.0
469,ENSG00000083099,LYRM2,1.23
470,ENSG00000105122,RASAL3,2.05
471,ENSG00000123136,DDX39A,1.47
472,ENSG00000201827,,
473,ENSG00000112041,TULP1,2.32
474,ENSG00000155438,NIFK,1.46
475,ENSG00000264654,,0.91
476,ENSG00000199165,MIRLET7A1,
477,ENSG00000254647,INS,189.87
478,ENSG00000179046,TRIML2,1.1
479,ENSG00000165124,SVEP1,1.92
480,ENSG00000164070,HSPA4L,1.14
481,ENSG00000100014,SPECC1L,1.8
482,ENSG00000127080,IPPK,0.86
483,ENSG00000290904,PDE4DIPP4,
484,ENSG00000269623,,1.34
485,ENSG00000055118,KCNH2,0.97
486,ENSG00000264200,MIR4693,
487,ENSG00000163918,RFC4,1.03
488,ENSG00000089692,LAG3,2.2
489,ENSG00000198538,ZNF28,0.78
490,ENSG00000178773,CPNE7,0.9
491,ENSG00000196963,,0.91
492,ENSG00000115274,INO80B,0.78
493,ENSG00000160908,ZNF394,1.08
494,ENSG00000124019,FAM124B,0.9
495,ENSG00000269386,RAB11B-AS1,0.8
496,ENSG00000259107,LINC00911,1.07
497,ENSG00000105197,TIMM50,1.06
498,ENSG00000066044,ELAVL1,1.39
499,ENSG00000101190,TCFL5,0.78
500,ENSG00000172530,BANP,1.19
501,ENSG00000271086,NAMA,0.79
502,ENSG00000121053,EPX,1.01
503,ENSG00000100982,PCIF1,0.96
504,ENSG00000133110,POSTN,4.45
505,ENSG00000182591,KRTAP11-1,1.2
506,ENSG00000231439,WASIR2,0.66
507,ENSG00000167397,VKORC1,1.76
508,ENSG00000137033,IL33,2.21
509,ENSG00000227746,C4A,1.2
510,ENSG00000101236,RNF24,1.71
511,ENSG00000145996,CDKAL1,2.54
512,ENSG00000148180,GSN,2.97
513,ENSG00000185043,CIB1,2.1
514,ENSG00000164062,APEH,0.9
515,ENSG00000136933,RABEPK,0.96
516,ENSG00000244623,OR2AE1,0.75
517,ENSG00000119927,GPAM,0.9
518,ENSG00000100902,PSMA6,2.38
519,ENSG00000120137,PANK3,1.16
520,ENSG00000177688,SUMO4,0.81
521,ENSG00000179639,FCER1A,2.85
522,ENSG00000168263,KCNV2,1.29
523,ENSG00000270181,BIVM-ERCC5,
524,ENSG00000226083,SLC39A12-AS1,0.95
525,ENSG00000187775,DNAH17,1.15
526,ENSG00000185615,PDIA2,1.07
527,ENSG00000177425,PAWR,1.77
528,ENSG00000130294,KIF1A,1.78
529,ENSG00000132688,NES,2.08
530,ENSG00000116830,TTF2,1.02
531,ENSG00000101197,BIRC7,1.0
532,ENSG00000291119,DPY19L2P4,
533,ENSG00000181904,C5orf24,1.22
534,ENSG00000077080,ACTL6B,1.29
535,ENSG00000158773,USF1,0.91
536,ENSG00000137876,RSL24D1,2.19
537,ENSG00000237765,FAM200B,1.19
538,ENSG00000074590,NUAK1,1.46
539,ENSG00000172728,FUT10,0.98
540,ENSG00000231205,ZNF826P,
541,ENSG00000186638,KIF24,0.73
542,ENSG00000137656,BUD13,0.82
543,ENSG00000144524,COPS7B,0.87
544,ENSG00000100815,TRIP11,1.48
545,ENSG00000132481,TRIM47,0.94
546,ENSG00000050393,MCUR1,1.15
547,ENSG00000137496,IL18BP,1.05
548,ENSG00000142528,ZNF473,0.76
549,ENSG00000106780,MEGF9,1.79
550,ENSG00000163239,TDRD10,1.32
551,ENSG00000132671,SSTR4,0.76
552,ENSG00000104892,KLC3,0.65
553,ENSG00000145675,PIK3R1,2.41
554,ENSG00000088782,DEFB127,1.355
555,ENSG00000157869,RAB28,1.49
556,ENSG00000223972,DDX11L1,
557,ENSG00000126391,FRMD8,0.95
558,ENSG00000155792,DEPTOR,1.54
559,ENSG00000072954,TMEM38A,0.96
560,ENSG00000178691,SUZ12,1.52
561,ENSG00000234224,TMEM229A,0.91
562,ENSG00000105696,TMEM59L,1.49
563,ENSG00000186007,LEMD1,1.13
564,ENSG00000035499,DEPDC1B,1.01
565,ENSG00000169515,CCDC8,0.78
566,ENSG00000204653,ASPDH,1.88
567,ENSG00000128564,VGF,1.21
568,ENSG00000187446,CHP1,1.24
569,ENSG00000137817,PARP6,1.08
570,ENSG00000269056,,1.12
571,ENSG00000277390,APOL5,1.31
572,ENSG00000103042,SLC38A7,0.75
573,ENSG00000148053,NTRK2,3.74
574,ENSG00000172432,GTPBP2,0.88
575,ENSG00000198398,TMEM207,1.56
576,ENSG00000137168,PPIL1,0.86
577,ENSG00000176605,LINC02914,1.17
578,ENSG00000197296,FITM2,0.75
579,ENSG00000235602,POU5F1P3,
580,ENSG00000213380,COG8,0.77
581,ENSG00000221275,MIR548I2,
582,ENSG00000154118,JPH3,0.95
583,ENSG00000225826,LINC00626,0.9
584,ENSG00000268872,,1.06
585,ENSG00000106803,SEC61B,3.67
586,ENSG00000165138,ANKS6,0.85
587,ENSG00000203668,CHML,0.89
588,ENSG00000249375,CASC11,0.89
589,ENSG00000168301,KCTD6,0.82
590,ENSG00000102910,LONP2,1.62
591,ENSG00000157916,RER1,1.65
592,ENSG00000278057,TEX28,2.12
593,ENSG00000249104,USP17L17,
594,ENSG00000169851,PCDH7,4.15
595,ENSG00000166007,TRIM51HP,
596,ENSG00000274102,OR4M2,0.86
597,ENSG00000110321,EIF4G2,3.24
598,ENSG00000173285,OR10K1,0.75
599,ENSG00000266514,MIR3689F,
600,ENSG00000198492,YTHDF2,1.62
601,ENSG00000215367,TMED11P,
602,ENSG00000125378,BMP4,1.16
603,ENSG00000068912,ERLEC1,1.34
604,ENSG00000179178,TMEM125,0.78
605,ENSG00000236836,PCYT1B-AS1,1.18
606,ENSG00000253548,PYDC2,0.55
607,ENSG00000273648,MIR8065,
608,ENSG00000186591,UBE2H,2.51
609,ENSG00000232849,LINC00363,1.02
610,ENSG00000170515,PA2G4,2.57
611,ENSG00000160299,PCNT,1.11
612,ENSG00000198860,TSEN15,1.06
613,ENSG00000261645,DISC1FP1,2.2
614,ENSG00000125122,FBXL9P,0.84
615,ENSG00000130545,CRB3,0.75
616,ENSG00000204104,TRAF3IP1,0.99
617,ENSG00000138780,GSTCD,1.11
618,ENSG00000089693,MLF2,1.86
619,ENSG00000264211,MIR4492,
620,ENSG00000198863,RUNDC1,0.8
621,ENSG00000183747,ACSM2A,9.0
622,ENSG00000277224,H2BC7,
623,ENSG00000110900,TSPAN11,1.15
624,ENSG00000205456,TP53TG3D,0.68
625,ENSG00000116489,CAPZA1,2.01
626,ENSG00000288475,CASP8AP2,1.19
627,ENSG00000204977,TRIM13,1.24
628,ENSG00000095739,BAMBI,1.28
629,ENSG00000121807,CCR2,1.77
630,ENSG00000130255,RPL36,18.58
631,ENSG00000261614,YBX3P1,
632,ENSG00000077238,IL4R,1.7
633,ENSG00000047249,ATP6V1H,1.41
634,ENSG00000104723,TUSC3,1.86
635,ENSG00000250174,MYLK-AS2,0.76
636,ENSG00000182508,LHFPL1,0.64
637,ENSG00000256525,POLG2,1.12
638,ENSG00000179284,DAND5,0.86
639,ENSG00000259361,LINC00927,0.85
640,ENSG00000148341,SH3GLB2,0.94
641,ENSG00000140090,SLC24A4,2.03
642,ENSG00000182687,GALR2,0.66
643,ENSG00000156976,EIF4A2,2.99
644,ENSG00000277014,MIR3179-4,
645,ENSG00000124237,C20orf85,4.73
646,ENSG00000215105,TTC3P1,
647,ENSG00000237009,GLIS3-AS1,0.64
648,ENSG00000152292,SH2D6,0.94
649,ENSG00000235333,PVRIG2P,
650,ENSG00000197380,DACT3,1.03
651,ENSG00000167625,ZNF526,0.72
652,ENSG00000148219,ASTN2,2.04
653,ENSG00000207624,MIR194-1,
654,ENSG00000215251,FASTKD5,0.71
655,ENSG00000278073,MIR6726,
656,ENSG00000268837,,1.18
657,ENSG00000155096,AZIN1,1.42
658,ENSG00000160209,PDXK,1.49
659,ENSG00000142875,PRKACB,2.07
660,ENSG00000111319,SCNN1A,1.37
661,ENSG00000224660,SH3BP5-AS1,0.97
662,ENSG00000284317,MIR7114,
663,ENSG00000164916,FOXK1,1.26
664,ENSG00000076344,RGS11,1.17
665,ENSG00000136457,CHAD,3.13
666,ENSG00000264292,MIR2467,
667,ENSG00000290715,FRG2KP,
668,ENSG00000149177,PTPRJ,2.41
669,ENSG00000258555,SPECC1L-ADORA2A,
670,ENSG00000109534,GAR1,1.05
671,ENSG00000115361,ACADL,1.65
672,ENSG00000124406,ATP8A1,2.86
673,ENSG00000126583,PRKCG,1.22
